Date,Max Temp (C),Min Temp (C),Avg Temp (C),Total Precip (mm),Total Snow (cm),Max Wind (Kph),Avg Humidity (%),Condition,UV Index
2024-10-01,20.4,15.8,17.9,5.76,0.0,18.4,88,Moderate rain at times,5.0
2024-10-02,16.5,10.8,14.3,13.12,0.0,20.9,71,Partly cloudy,5.0
2024-10-03,22.7,10.4,16.6,0.0,0.0,14.0,70,Sunny,6.0
2024-10-04,19.1,13.0,15.9,0.0,0.0,13.0,74,Overcast,4.0
2024-10-05,18.2,7.8,13.4,0.0,0.0,8.6,79,Mist,4.0
2024-10-06,20.0,11.6,15.0,5.13,0.0,23.4,76,Light rain shower,4.0
2024-10-07,14.8,9.6,11.9,0.0,0.0,22.3,69,Cloudy,3.0
